system:time_start,Soil,Veg,Shadow
"Jan 8, 2023",0.291,0.543,0.165
"Jan 13, 2023",0.403,0.489,0.108
"Jan 18, 2023",0.411,0.486,0.102
"Jan 28, 2023",0.518,0.41,0.072
"Feb 2, 2023",0.939,0.058,0.004
"Feb 7, 2023",0.711,0.259,0.03
"Feb 12, 2023",0.947,0.049,0.004
"Feb 17, 2023",0.789,0.18,0.032
"Feb 22, 2023",0.952,0.046,0.001
"Mar 4, 2023",0.931,0.065,0.003
"Mar 9, 2023",0.928,0.067,0.004
"Jun 7, 2023",0.443,0.129,0.428
"Aug 21, 2023",0.986,0.009,0.005
"Aug 26, 2023",0.871,0.096,0.033
"Sep 5, 2023",0.934,0.058,0.008
"Sep 25, 2023",0.579,0.209,0.212
"Oct 10, 2023",0.793,0.131,0.076
"Nov 29, 2023",0.143,0.045,0.812
"Dec 9, 2023",0.926,0.001,0.074
"Dec 24, 2023",0.319,0.015,0.666
"Dec 29, 2023",0.441,0.02,0.54
