system:time_start,RMSE
"Jan 1, 2023",0.029
"Jan 6, 2023",0.026
"Jan 8, 2023",0.042
"Jan 11, 2023",0.027
"Jan 13, 2023",0.038
"Jan 16, 2023",0.028
"Jan 18, 2023",0.043
"Jan 21, 2023",0.029
"Jan 26, 2023",0.042
"Jan 28, 2023",0.045
"Jan 31, 2023",0.032
"Feb 2, 2023",0.05
"Feb 5, 2023",0.031
"Feb 7, 2023",0.057
"Feb 10, 2023",0.032
"Feb 12, 2023",0.049
"Feb 15, 2023",0.039
"Feb 17, 2023",0.055
"Feb 20, 2023",0.034
"Feb 22, 2023",0.066
"Feb 25, 2023",0.037
"Feb 27, 2023",0.062
"Mar 4, 2023",0.057
"Mar 7, 2023",0.036
"Mar 9, 2023",0.11
"Apr 3, 2023",0.145
"May 18, 2023",0.134
"May 21, 2023",0.022
"Jun 5, 2023",0.029
"Jun 7, 2023",0.092
"Jun 10, 2023",0.071
"Jun 12, 2023",0.035
"Jun 20, 2023",0.041
"Jul 10, 2023",0.024
"Jul 15, 2023",0.08
"Jul 20, 2023",0.032
"Jul 30, 2023",0.033
"Aug 14, 2023",0.034
"Aug 19, 2023",0.032
"Aug 21, 2023",0.104
"Aug 24, 2023",0.042
"Aug 26, 2023",0.08
"Sep 3, 2023",0.071
"Sep 5, 2023",0.065
"Sep 10, 2023",0.058
"Sep 23, 2023",0.186
"Sep 25, 2023",0.058
"Sep 30, 2023",0.097
"Oct 3, 2023",0.033
"Oct 8, 2023",0.047
"Oct 10, 2023",0.068
"Oct 13, 2023",0.036
"Oct 15, 2023",0.158
"Oct 18, 2023",0.041
"Oct 23, 2023",0.037
"Oct 28, 2023",0.122
"Nov 29, 2023",0.083
"Dec 7, 2023",0.023
"Dec 9, 2023",0.041
"Dec 12, 2023",0.025
"Dec 17, 2023",0.023
"Dec 22, 2023",0.023
"Dec 24, 2023",0.041
"Dec 27, 2023",0.02
