system:time_start,RMSE
"Jan 1, 2023",0.038
"Jan 6, 2023",0.042
"Jan 16, 2023",0.046
"Jan 21, 2023",0.042
"Jan 26, 2023",0.047
"Jan 31, 2023",0.042
"Feb 5, 2023",0.044
"Feb 10, 2023",0.039
"Feb 15, 2023",0.05
"Feb 20, 2023",0.039
"Feb 25, 2023",0.073
"Mar 2, 2023",0.045
"Mar 22, 2023",0.09
"Apr 6, 2023",0.16
"Apr 11, 2023",0.237
"May 16, 2023",0.053
"May 21, 2023",0.051
"May 31, 2023",0.082
"Jun 5, 2023",0.059
"Jun 10, 2023",0.047
"Jun 20, 2023",0.047
"Jul 5, 2023",0.043
"Jul 15, 2023",0.04
"Jul 20, 2023",0.04
"Jul 25, 2023",0.043
"Jul 30, 2023",0.048
"Aug 14, 2023",0.044
"Aug 19, 2023",0.047
"Aug 24, 2023",0.04
"Aug 29, 2023",0.046
"Sep 3, 2023",0.048
"Sep 13, 2023",0.253
"Sep 18, 2023",0.053
"Sep 23, 2023",0.052
"Oct 3, 2023",0.049
"Oct 8, 2023",0.075
"Oct 13, 2023",0.041
"Oct 23, 2023",0.036
"Dec 2, 2023",0.047
"Dec 7, 2023",0.041
"Dec 17, 2023",0.116
"Dec 22, 2023",0.046
